,AngerPrototype,AngerBO,DisgustPrototype,DisgustBO,FearPrototype,FearBO,HappinessPrototype,HappinessBO,SadnessPrototype,SadnessBO,SurprisePrototype,SurpriseBO
0,6.25,6.5,5.75,3.0,4.5,2.5,6.5,6.0,5.5,6.25,2.5,5.5
1,4.25,3.75,4.0,4.0,5.75,3.25,3.5,3.5,4.0,5.5,4.75,5.25
2,5.5,6.0,4.5,2.5,3.0,3.75,5.0,5.5,3.75,5.25,4.5,5.5
3,4.0,4.75,3.5,4.25,3.75,3.5,4.5,3.5,4.5,5.75,5.5,4.75
4,5.25,5.75,4.5,5.0,2.0,2.75,5.5,3.5,5.75,6.75,4.0,5.5
5,5.0,4.75,3.5,3.5,3.25,4.5,2.25,2.75,5.5,6.5,3.5,5.0
6,3.75,4.75,3.75,4.5,3.5,3.75,4.0,3.75,3.75,5.0,4.0,4.5
7,6.25,6.5,6.5,3.75,3.75,1.75,3.25,5.5,3.5,6.25,5.25,6.25
8,5.5,6.75,5.0,4.25,2.75,4.0,5.5,5.5,6.25,6.75,3.25,4.25
9,4.25,4.75,2.0,2.0,1.0,2.25,4.5,4.25,2.25,5.25,1.0,3.0
10,4.75,4.75,4.75,2.25,3.25,2.75,3.75,5.5,4.5,7.0,4.25,5.75
11,4.5,5.5,4.0,3.25,1.75,1.75,3.25,3.25,3.0,5.25,3.5,5.5
12,1.0,1.0,1.25,1.25,1.0,1.0,3.0,2.5,1.0,5.0,3.0,3.25
13,6.0,5.5,5.5,4.25,2.75,4.75,4.25,6.25,6.75,7.0,4.5,6.5
14,3.25,4.5,5.25,6.0,1.25,3.75,7.0,5.5,4.5,7.0,3.75,6.75
15,4.5,5.5,4.75,5.5,4.5,5.25,2.75,1.75,5.25,5.5,3.75,4.75
16,2.5,5.0,1.5,1.5,2.0,2.25,4.0,2.5,5.0,7.0,2.75,4.25
17,4.5,4.25,3.5,3.5,3.5,4.25,2.25,3.0,5.5,6.25,4.0,5.0
18,4.5,5.25,2.25,3.0,1.5,3.25,3.5,1.75,5.75,6.25,3.5,6.75
19,4.5,4.75,3.25,4.0,3.25,1.75,3.25,2.25,1.0,1.5,3.5,6.25
20,3.5,1.0,4.5,3.75,3.5,3.75,5.25,5.0,4.5,3.75,4.0,5.0
21,4.0,4.25,3.75,3.0,3.25,4.25,2.0,2.5,6.0,6.75,3.5,5.0
22,4.0,4.5,4.25,3.5,3.25,4.25,1.5,2.25,5.5,7.0,4.25,5.0
23,4.0,4.75,2.25,4.0,3.0,3.0,6.25,5.25,4.5,6.25,3.0,5.0
24,1.75,2.25,1.25,1.5,1.0,1.0,2.5,2.0,1.0,4.25,2.75,4.25
25,3.25,7.0,5.0,2.75,2.5,2.5,5.0,5.0,1.5,6.75,4.0,5.5
26,3.5,6.5,2.0,6.0,1.0,2.25,3.25,3.0,3.0,4.25,4.75,5.5
27,5.0,7.0,5.5,5.25,4.0,5.25,1.25,1.5,6.0,7.0,6.5,5.75
28,5.25,6.0,5.0,5.75,4.5,5.5,4.25,6.0,4.75,5.25,4.75,4.25
29,3.0,3.0,3.25,4.0,2.75,3.75,4.75,4.5,5.0,5.5,3.25,5.75
30,3.75,5.0,4.5,5.0,4.5,5.0,3.75,3.5,5.25,6.0,4.5,5.75
31,4.75,4.25,4.0,5.25,3.75,4.75,3.5,4.75,5.75,7.0,5.25,6.75
32,3.25,5.0,2.5,2.75,1.5,1.5,5.5,3.75,3.75,4.5,2.5,3.75
33,4.5,4.5,3.5,4.5,2.25,2.5,3.25,4.0,2.25,7.0,6.25,5.75
34,5.0,6.0,3.5,3.75,2.75,3.25,2.5,2.0,5.75,6.75,4.25,6.0
35,4.25,7.0,5.5,5.0,4.0,4.25,5.5,7.0,6.25,7.0,3.25,4.0
36,3.75,7.0,3.0,3.75,2.75,1.75,5.5,6.5,4.5,6.0,3.25,5.25
37,4.5,4.5,4.25,4.75,2.75,4.75,3.25,3.75,3.5,5.25,4.0,4.75
38,3.0,5.0,2.75,4.0,1.25,2.0,3.25,3.75,3.0,6.0,4.5,6.5
39,6.0,6.5,3.0,6.25,1.0,1.0,1.0,2.25,7.0,7.0,1.0,5.0
