,AngerPrototype1,AngerPrototype2,AngerPrototype3,AngerPrototype4,AngerBO1,AngerBO2,AngerBO3,AngerBO4,DisgustPrototype1,DisgustPrototype2,DisgustPrototype3,DisgustPrototype4,DisgustBO1,DisgustBO2,DisgustBO3,DisgustBO4,FearPrototype1,FearPrototype2,FearPrototype3,FearPrototype4,FearBO1,FearBO2,FearBO3,FearBO4,HappinessPrototype1,HappinessPrototype2,HappinessPrototype3,HappinessPrototype4,HappinessBO1,HappinessBO2,HappinessBO3,HappinessBO4,SadnessPrototype1,SadnessPrototype2,SadnessPrototype3,SadnessPrototype4,SadnessBO1,SadnessBO2,SadnessBO3,SadnessBO4,SurprisePrototype1,SurprisePrototype2,SurprisePrototype3,SurprisePrototype4,SurpriseBO1,SurpriseBO2,SurpriseBO3,SurpriseBO4
0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,5.0,6.0,6.0,4.0,7.0,1.0,1.0,3.0,7.0,3.0,4.0,5.0,6.0,3.0,5.0,1.0,1.0,7.0,7.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,6.0,3.0,6.0,7.0,6.0,7.0,5.0,1.0,1.0,5.0,3.0,7.0,7.0,1.0,7.0
1,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,6.0,5.0,5.0,6.0,7.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,5.0,5.0,6.0,6.0,6.0,4.0,3.0,3.0,6.0,7.0,4.0,6.0,5.0,6.0
2,5.0,5.0,6.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,3.0,5.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,2.0,3.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,2.0,5.0,7.0,6.0,6.0,5.0,5.0
3,3.0,5.0,5.0,3.0,5.0,5.0,6.0,3.0,3.0,4.0,4.0,3.0,6.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,4.0,7.0,6.0,6.0,6.0,3.0,4.0
4,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,5.0,7.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,1.0,2.0,5.0,6.0,6.0,6.0,5.0,7.0,6.0,7.0,7.0,2.0,2.0,6.0,6.0,5.0,6.0,5.0,6.0
5,5.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
6,4.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
7,7.0,6.0,6.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,6.0,6.0,2.0,5.0,6.0,2.0,5.0,4.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,5.0,6.0,6.0,5.0,5.0,1.0,2.0,4.0,7.0,6.0,6.0,6.0,7.0,6.0,3.0,6.0,6.0,5.0,7.0,6.0,7.0
8,5.0,5.0,7.0,5.0,7.0,7.0,6.0,7.0,3.0,6.0,6.0,5.0,6.0,3.0,2.0,6.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,5.0,5.0,7.0,4.0,5.0,6.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,7.0,4.0,2.0,5.0,2.0,4.0,5.0,4.0,4.0
9,3.0,3.0,5.0,6.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0
10,5.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,6.0,6.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,4.0,2.0,5.0,6.0,6.0,5.0,5.0,5.0,3.0,4.0,6.0,7.0,7.0,7.0,7.0,1.0,2.0,7.0,7.0,5.0,6.0,6.0,6.0
11,4.0,5.0,5.0,4.0,6.0,5.0,5.0,6.0,4.0,5.0,3.0,4.0,4.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,7.0,4.0,6.0,4.0,1.0,1.0,6.0,6.0,5.0,6.0,5.0,6.0
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,4.0,6.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,3.0
13,5.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,1.0,6.0,1.0,5.0,3.0,2.0,6.0,4.0,5.0,4.0,5.0,5.0,1.0,6.0,7.0,6.0,5.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,1.0,7.0,7.0,6.0,7.0,6.0,7.0
14,4.0,4.0,2.0,3.0,7.0,7.0,3.0,1.0,7.0,7.0,6.0,1.0,7.0,4.0,6.0,7.0,2.0,1.0,1.0,1.0,5.0,2.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,7.0,7.0,1.0,4.0,6.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,7.0
15,4.0,5.0,3.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,6.0,4.0,4.0,5.0,5.0,6.0,4.0,6.0,5.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,2.0,3.0,5.0,5.0,6.0,5.0,2.0,6.0
16,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,5.0
17,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
18,4.0,4.0,5.0,5.0,7.0,5.0,3.0,6.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,7.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,4.0,1.0,1.0,6.0,6.0,7.0,7.0,6.0,7.0
19,4.0,5.0,5.0,4.0,2.0,6.0,5.0,6.0,6.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,7.0
20,1.0,2.0,6.0,5.0,1.0,1.0,1.0,1.0,7.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,4.0,4.0,2.0,4.0,5.0,5.0,1.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0
21,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,6.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0
22,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
23,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,5.0,5.0,2.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,7.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,7.0,5.0,7.0,6.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,6.0
24,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0
25,2.0,4.0,2.0,5.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,7.0,3.0,6.0,6.0,4.0,5.0,5.0,1.0,1.0,3.0,1.0,7.0,7.0,7.0,6.0,2.0,2.0,5.0,7.0,6.0,7.0,4.0,5.0
26,1.0,4.0,5.0,4.0,7.0,6.0,6.0,7.0,2.0,2.0,1.0,3.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,6.0,1.0,4.0,2.0,2.0,4.0,1.0,5.0,3.0,3.0,7.0,5.0,4.0,1.0,4.0,2.0,6.0,7.0,6.0,3.0,7.0,6.0
27,5.0,3.0,7.0,5.0,7.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,6.0,7.0,1.0,7.0,4.0,2.0,5.0,5.0,5.0,4.0,7.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0
28,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0
29,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,3.0,5.0,5.0,5.0,6.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,2.0,1.0,5.0,5.0,5.0,6.0,6.0,6.0
30,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,5.0,7.0,5.0,6.0
31,4.0,6.0,5.0,4.0,2.0,6.0,2.0,7.0,4.0,6.0,3.0,3.0,5.0,3.0,7.0,6.0,2.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,7.0,4.0,3.0,5.0,7.0,6.0,7.0,3.0,7.0,7.0,7.0,7.0,3.0,5.0,7.0,6.0,7.0,7.0,7.0,6.0
32,4.0,2.0,2.0,5.0,6.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,6.0,4.0,5.0,7.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,4.0
33,5.0,1.0,5.0,7.0,7.0,5.0,5.0,1.0,6.0,6.0,1.0,1.0,5.0,1.0,6.0,6.0,4.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,5.0,1.0,6.0,5.0,5.0,1.0,5.0,1.0,1.0,6.0,1.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,7.0,5.0,7.0
34,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,4.0,6.0,5.0,6.0,6.0,7.0,6.0,7.0,7.0,2.0,2.0,7.0,6.0,6.0,6.0,6.0,6.0
35,1.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,2.0,7.0,5.0,1.0,7.0,3.0,5.0,4.0,4.0,4.0,5.0,1.0,7.0,7.0,6.0,4.0,5.0,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,5.0,6.0,1.0,5.0,5.0,5.0
36,3.0,1.0,6.0,5.0,7.0,7.0,7.0,7.0,3.0,7.0,1.0,1.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,5.0,5.0,5.0,7.0,6.0,7.0,7.0,6.0,4.0,1.0,7.0,6.0,7.0,7.0,6.0,4.0,1.0,1.0,6.0,5.0,3.0,6.0,7.0,5.0
37,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,2.0,5.0,4.0,5.0,6.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,6.0,5.0,4.0,6.0,3.0,2.0,5.0,6.0,6.0,3.0,5.0,5.0
38,3.0,2.0,3.0,4.0,5.0,4.0,7.0,4.0,2.0,4.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,5.0,3.0,2.0,4.0,3.0,5.0,3.0,1.0,1.0,4.0,6.0,3.0,7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,7.0,5.0,7.0
39,6.0,4.0,7.0,7.0,7.0,7.0,5.0,7.0,3.0,2.0,3.0,4.0,7.0,4.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,4.0,7.0,4.0,5.0
