,index,stimulus,target_emotion_for_rating,rating
0,0,namba normal,anger,4
1,1,namba normal,anger,5
2,2,namba normal,anger,5
3,3,namba normal,anger,1
4,4,namba normal,anger,6
5,5,namba normal,anger,5
6,6,namba normal,anger,5
7,7,namba normal,anger,1
8,8,namba normal,anger,6
9,9,namba normal,anger,5
10,10,namba normal,anger,4
11,11,namba normal,anger,5
12,12,namba normal,anger,4
13,13,namba normal,anger,4
14,14,namba normal,anger,6
15,15,namba normal,anger,2
16,16,namba normal,anger,1
17,17,namba normal,anger,4
18,18,namba normal,anger,5
19,19,namba normal,anger,3
20,20,namba normal,anger,4
21,21,namba normal,anger,4
22,22,namba normal,anger,4
23,23,namba normal,anger,2
24,24,namba normal,anger,3
25,25,namba normal,anger,4
26,26,namba normal,anger,6
27,27,namba normal,anger,2
28,28,namba normal,anger,3
29,29,namba normal,anger,2
30,30,namba normal,anger,3
31,31,namba normal,anger,6
32,32,namba normal,anger,5
33,33,namba normal,anger,7
34,34,namba normal,anger,6
35,35,namba normal,anger,2
36,36,namba normal,anger,2
37,37,namba normal,anger,5
38,38,namba normal,anger,5
39,39,namba normal,anger,4
40,0,namba normal,disgust,3
41,1,namba normal,disgust,3
42,2,namba normal,disgust,6
43,3,namba normal,disgust,2
44,4,namba normal,disgust,4
45,5,namba normal,disgust,1
46,6,namba normal,disgust,3
47,7,namba normal,disgust,2
48,8,namba normal,disgust,4
49,9,namba normal,disgust,1
50,10,namba normal,disgust,2
51,11,namba normal,disgust,3
52,12,namba normal,disgust,2
53,13,namba normal,disgust,4
54,14,namba normal,disgust,1
55,15,namba normal,disgust,2
56,16,namba normal,disgust,1
57,17,namba normal,disgust,1
58,18,namba normal,disgust,4
59,19,namba normal,disgust,1
60,20,namba normal,disgust,1
61,21,namba normal,disgust,1
62,22,namba normal,disgust,2
63,23,namba normal,disgust,2
64,24,namba normal,disgust,3
65,25,namba normal,disgust,1
66,26,namba normal,disgust,2
67,27,namba normal,disgust,3
68,28,namba normal,disgust,1
69,29,namba normal,disgust,1
70,30,namba normal,disgust,2
71,31,namba normal,disgust,5
72,32,namba normal,disgust,3
73,33,namba normal,disgust,4
74,34,namba normal,disgust,2
75,35,namba normal,disgust,1
76,36,namba normal,disgust,2
77,37,namba normal,disgust,4
78,38,namba normal,disgust,1
79,39,namba normal,disgust,1
80,0,namba normal,fear,5
81,1,namba normal,fear,2
82,2,namba normal,fear,1
83,3,namba normal,fear,3
84,4,namba normal,fear,1
85,5,namba normal,fear,1
86,6,namba normal,fear,1
87,7,namba normal,fear,4
88,8,namba normal,fear,1
89,9,namba normal,fear,1
90,10,namba normal,fear,1
91,11,namba normal,fear,2
92,12,namba normal,fear,3
93,13,namba normal,fear,2
94,14,namba normal,fear,1
95,15,namba normal,fear,1
96,16,namba normal,fear,1
97,17,namba normal,fear,1
98,18,namba normal,fear,1
99,19,namba normal,fear,1
100,20,namba normal,fear,1
101,21,namba normal,fear,1
102,22,namba normal,fear,1
103,23,namba normal,fear,1
104,24,namba normal,fear,1
105,25,namba normal,fear,1
106,26,namba normal,fear,1
107,27,namba normal,fear,1
108,28,namba normal,fear,1
109,29,namba normal,fear,1
110,30,namba normal,fear,2
111,31,namba normal,fear,2
112,32,namba normal,fear,3
113,33,namba normal,fear,2
114,34,namba normal,fear,1
115,35,namba normal,fear,1
116,36,namba normal,fear,2
117,37,namba normal,fear,1
118,38,namba normal,fear,1
119,39,namba normal,fear,1
120,0,namba normal,happiness,4
121,1,namba normal,happiness,2
122,2,namba normal,happiness,5
123,3,namba normal,happiness,1
124,4,namba normal,happiness,4
125,5,namba normal,happiness,4
126,6,namba normal,happiness,3
127,7,namba normal,happiness,4
128,8,namba normal,happiness,5
129,9,namba normal,happiness,2
130,10,namba normal,happiness,1
131,11,namba normal,happiness,3
132,12,namba normal,happiness,5
133,13,namba normal,happiness,3
134,14,namba normal,happiness,1
135,15,namba normal,happiness,2
136,16,namba normal,happiness,5
137,17,namba normal,happiness,1
138,18,namba normal,happiness,4
139,19,namba normal,happiness,2
140,20,namba normal,happiness,1
141,21,namba normal,happiness,1
142,22,namba normal,happiness,1
143,23,namba normal,happiness,4
144,24,namba normal,happiness,1
145,25,namba normal,happiness,1
146,26,namba normal,happiness,5
147,27,namba normal,happiness,2
148,28,namba normal,happiness,4
149,29,namba normal,happiness,1
150,30,namba normal,happiness,3
151,31,namba normal,happiness,4
152,32,namba normal,happiness,4
153,33,namba normal,happiness,4
154,34,namba normal,happiness,2
155,35,namba normal,happiness,3
156,36,namba normal,happiness,1
157,37,namba normal,happiness,4
158,38,namba normal,happiness,1
159,39,namba normal,happiness,1
160,0,namba normal,sadness,5
161,1,namba normal,sadness,3
162,2,namba normal,sadness,4
163,3,namba normal,sadness,1
164,4,namba normal,sadness,2
165,5,namba normal,sadness,2
166,6,namba normal,sadness,2
167,7,namba normal,sadness,1
168,8,namba normal,sadness,3
169,9,namba normal,sadness,5
170,10,namba normal,sadness,2
171,11,namba normal,sadness,2
172,12,namba normal,sadness,2
173,13,namba normal,sadness,3
174,14,namba normal,sadness,1
175,15,namba normal,sadness,2
176,16,namba normal,sadness,1
177,17,namba normal,sadness,1
178,18,namba normal,sadness,3
179,19,namba normal,sadness,1
180,20,namba normal,sadness,1
181,21,namba normal,sadness,1
182,22,namba normal,sadness,1
183,23,namba normal,sadness,1
184,24,namba normal,sadness,1
185,25,namba normal,sadness,1
186,26,namba normal,sadness,3
187,27,namba normal,sadness,1
188,28,namba normal,sadness,1
189,29,namba normal,sadness,1
190,30,namba normal,sadness,2
191,31,namba normal,sadness,5
192,32,namba normal,sadness,2
193,33,namba normal,sadness,3
194,34,namba normal,sadness,2
195,35,namba normal,sadness,1
196,36,namba normal,sadness,1
197,37,namba normal,sadness,1
198,38,namba normal,sadness,1
199,39,namba normal,sadness,1
200,0,namba normal,surprise,6
201,1,namba normal,surprise,3
202,2,namba normal,surprise,6
203,3,namba normal,surprise,2
204,4,namba normal,surprise,5
205,5,namba normal,surprise,6
206,6,namba normal,surprise,6
207,7,namba normal,surprise,2
208,8,namba normal,surprise,5
209,9,namba normal,surprise,3
210,10,namba normal,surprise,6
211,11,namba normal,surprise,4
212,12,namba normal,surprise,5
213,13,namba normal,surprise,6
214,14,namba normal,surprise,7
215,15,namba normal,surprise,2
216,16,namba normal,surprise,6
217,17,namba normal,surprise,7
218,18,namba normal,surprise,3
219,19,namba normal,surprise,5
220,20,namba normal,surprise,3
221,21,namba normal,surprise,3
222,22,namba normal,surprise,4
223,23,namba normal,surprise,1
224,24,namba normal,surprise,5
225,25,namba normal,surprise,3
226,26,namba normal,surprise,7
227,27,namba normal,surprise,7
228,28,namba normal,surprise,2
229,29,namba normal,surprise,4
230,30,namba normal,surprise,3
231,31,namba normal,surprise,6
232,32,namba normal,surprise,5
233,33,namba normal,surprise,6
234,34,namba normal,surprise,3
235,35,namba normal,surprise,3
236,36,namba normal,surprise,2
237,37,namba normal,surprise,6
238,38,namba normal,surprise,6
239,39,namba normal,surprise,5
240,0,namba normal,neutral,5
241,1,namba normal,neutral,4
242,2,namba normal,neutral,1
243,3,namba normal,neutral,2
244,4,namba normal,neutral,2
245,5,namba normal,neutral,1
246,6,namba normal,neutral,1
247,7,namba normal,neutral,7
248,8,namba normal,neutral,4
249,9,namba normal,neutral,2
250,10,namba normal,neutral,1
251,11,namba normal,neutral,3
252,12,namba normal,neutral,5
253,13,namba normal,neutral,1
254,14,namba normal,neutral,1
255,15,namba normal,neutral,3
256,16,namba normal,neutral,3
257,17,namba normal,neutral,1
258,18,namba normal,neutral,2
259,19,namba normal,neutral,3
260,20,namba normal,neutral,1
261,21,namba normal,neutral,1
262,22,namba normal,neutral,4
263,23,namba normal,neutral,4
264,24,namba normal,neutral,1
265,25,namba normal,neutral,3
266,26,namba normal,neutral,1
267,27,namba normal,neutral,1
268,28,namba normal,neutral,3
269,29,namba normal,neutral,1
270,30,namba normal,neutral,4
271,31,namba normal,neutral,2
272,32,namba normal,neutral,3
273,33,namba normal,neutral,1
274,34,namba normal,neutral,1
275,35,namba normal,neutral,1
276,36,namba normal,neutral,3
277,37,namba normal,neutral,1
278,38,namba normal,neutral,1
279,39,namba normal,neutral,1
280,0,namba hot,anger,5
281,1,namba hot,anger,2
282,2,namba hot,anger,5
283,3,namba hot,anger,2
284,4,namba hot,anger,5
285,5,namba hot,anger,3
286,6,namba hot,anger,6
287,7,namba hot,anger,5
288,8,namba hot,anger,6
289,9,namba hot,anger,5
290,10,namba hot,anger,4
291,11,namba hot,anger,6
292,12,namba hot,anger,4
293,13,namba hot,anger,4
294,14,namba hot,anger,6
295,15,namba hot,anger,4
296,16,namba hot,anger,1
297,17,namba hot,anger,6
298,18,namba hot,anger,5
299,19,namba hot,anger,2
300,20,namba hot,anger,3
301,21,namba hot,anger,6
302,22,namba hot,anger,3
303,23,namba hot,anger,6
304,24,namba hot,anger,5
305,25,namba hot,anger,1
306,26,namba hot,anger,7
307,27,namba hot,anger,5
308,28,namba hot,anger,5
309,29,namba hot,anger,4
310,30,namba hot,anger,6
311,31,namba hot,anger,7
312,32,namba hot,anger,5
313,33,namba hot,anger,6
314,34,namba hot,anger,7
315,35,namba hot,anger,2
316,36,namba hot,anger,4
317,37,namba hot,anger,1
318,38,namba hot,anger,4
319,39,namba hot,anger,7
320,0,namba hot,disgust,4
321,1,namba hot,disgust,2
322,2,namba hot,disgust,6
323,3,namba hot,disgust,1
324,4,namba hot,disgust,5
325,5,namba hot,disgust,3
326,6,namba hot,disgust,3
327,7,namba hot,disgust,4
328,8,namba hot,disgust,3
329,9,namba hot,disgust,1
330,10,namba hot,disgust,3
331,11,namba hot,disgust,2
332,12,namba hot,disgust,2
333,13,namba hot,disgust,5
334,14,namba hot,disgust,1
335,15,namba hot,disgust,3
336,16,namba hot,disgust,1
337,17,namba hot,disgust,1
338,18,namba hot,disgust,5
339,19,namba hot,disgust,6
