frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.02,0.12,0.62,0.18,0.29,0.85,0.08,1.02,0.53,1.54,0.17,0.00,0.00,0.04,0.20,0.05,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.08,0.21,0.73,0.07,0.26,1.13,0.05,1.12,0.63,1.67,0.14,0.02,0.00,0.03,0.23,0.16,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.08,0.17,0.72,0.09,0.25,1.20,0.03,1.19,0.69,1.75,0.08,0.05,0.00,0.06,0.26,0.24,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.02,0.11,0.75,0.15,0.23,1.27,0.00,1.20,0.70,1.82,0.04,0.14,0.00,0.13,0.18,0.16,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.02,0.00,0.68,0.14,0.27,1.35,0.00,1.18,0.68,1.80,0.00,0.23,0.00,0.16,0.16,0.13,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.02,0.00,0.72,0.06,0.32,1.35,0.00,1.11,0.70,1.80,0.00,0.24,0.00,0.19,0.14,0.13,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.00,0.00,0.70,0.00,0.32,1.12,0.00,1.10,0.66,1.79,0.02,0.29,0.00,0.17,0.12,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.00,0.00,0.74,0.00,0.36,0.86,0.00,1.09,0.70,1.80,0.03,0.28,0.00,0.18,0.12,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.04,0.00,0.82,0.00,0.34,0.85,0.00,1.09,0.67,1.86,0.07,0.31,0.00,0.11,0.17,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.16,0.00,0.77,0.00,0.36,0.89,0.00,1.08,0.72,1.90,0.06,0.22,0.00,0.06,0.25,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
