frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,1.32,0.74,0.67,1.96,0.45,1.57,0.35,1.20,0.19,0.00,0.00,0.23,0.35,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.00,0.00,1.23,0.65,0.64,1.90,0.36,1.47,0.35,1.30,0.12,0.00,0.00,0.14,0.35,0.00,0.05,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.00,0.00,1.10,0.55,0.59,1.97,0.31,1.37,0.38,1.32,0.14,0.00,0.00,0.11,0.31,0.04,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.00,0.00,0.96,0.46,0.54,2.00,0.28,1.28,0.44,1.37,0.12,0.00,0.00,0.10,0.30,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.00,0.00,0.81,0.31,0.48,1.82,0.18,1.23,0.47,1.44,0.10,0.04,0.00,0.10,0.35,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.00,0.00,0.73,0.16,0.47,1.57,0.09,1.20,0.49,1.50,0.02,0.09,0.00,0.05,0.34,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.00,0.00,0.67,0.06,0.44,1.38,0.01,1.21,0.48,1.47,0.01,0.10,0.00,0.02,0.29,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.00,0.00,0.72,0.02,0.45,1.33,0.00,1.27,0.51,1.46,0.01,0.10,0.00,0.00,0.27,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.00,0.00,0.67,0.05,0.42,1.33,0.00,1.35,0.53,1.46,0.01,0.05,0.00,0.00,0.36,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.02,0.00,0.60,0.05,0.37,1.31,0.00,1.39,0.56,1.53,0.00,0.09,0.00,0.00,0.37,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.05,0.00,0.51,0.04,0.32,1.48,0.00,1.33,0.56,1.46,0.00,0.06,0.00,0.00,0.29,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,0,0.367,0.98,1,0.08,0.00,0.52,0.09,0.32,1.52,0.00,1.25,0.56,1.52,0.00,0.14,0.00,0.00,0.27,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,0,0.400,0.98,1,0.10,0.00,0.57,0.09,0.35,1.55,0.00,1.23,0.55,1.46,0.00,0.10,0.00,0.00,0.29,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0,0.433,0.98,1,0.09,0.00,0.59,0.09,0.38,1.66,0.00,1.25,0.55,1.48,0.00,0.12,0.00,0.00,0.22,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,0,0.467,0.98,1,0.06,0.00,0.59,0.00,0.36,1.59,0.00,1.25,0.54,1.42,0.00,0.04,0.00,0.00,0.14,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,0,0.500,0.98,1,0.03,0.13,0.64,0.08,0.38,1.38,0.00,1.27,0.55,1.46,0.00,0.03,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,0,0.533,0.98,1,0.06,0.30,0.66,0.10,0.40,1.06,0.00,1.30,0.60,1.50,0.00,0.02,0.01,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,0,0.567,0.98,1,0.11,0.44,0.61,0.10,0.42,1.07,0.00,1.36,0.60,1.50,0.00,0.04,0.08,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
