frame,face_id,timestamp,confidence,success,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c
1,0,0.000,0.98,1,0.00,0.00,0.26,0.15,0.61,2.45,0.00,0.96,1.41,1.74,0.04,0.00,0.00,0.02,0.32,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0,0.033,0.98,1,0.07,0.00,0.45,0.08,0.70,2.50,0.06,1.04,1.47,1.92,0.01,0.00,0.00,0.08,0.44,0.04,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,0,0.067,0.98,1,0.10,0.00,0.54,0.08,0.75,2.62,0.10,1.06,1.49,2.00,0.00,0.01,0.00,0.09,0.43,0.04,0.09,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,0,0.100,0.98,1,0.06,0.00,0.54,0.08,0.78,2.78,0.09,1.03,1.53,2.09,0.00,0.07,0.00,0.08,0.37,0.00,0.19,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,0,0.133,0.98,1,0.04,0.00,0.56,0.05,0.79,2.84,0.08,0.97,1.48,2.14,0.00,0.13,0.00,0.09,0.21,0.00,0.15,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0,0.167,0.98,1,0.01,0.00,0.59,0.00,0.84,2.79,0.05,1.04,1.47,2.19,0.00,0.21,0.00,0.11,0.17,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0,0.200,0.98,1,0.01,0.00,0.63,0.00,0.88,2.78,0.04,1.12,1.45,2.09,0.00,0.18,0.00,0.11,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,0,0.233,0.98,1,0.00,0.00,0.64,0.00,0.96,2.79,0.00,1.26,1.50,2.12,0.00,0.18,0.00,0.08,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,0,0.267,0.98,1,0.02,0.00,0.66,0.00,0.98,2.75,0.00,1.29,1.48,2.10,0.00,0.12,0.00,0.06,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0,0.300,0.98,1,0.02,0.00,0.64,0.00,0.95,2.77,0.00,1.28,1.46,2.09,0.00,0.15,0.00,0.04,0.15,0.02,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,0,0.333,0.98,1,0.02,0.00,0.65,0.05,0.89,2.71,0.00,1.26,1.39,2.06,0.00,0.13,0.00,0.04,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
12,0,0.367,0.98,1,0.00,0.00,0.59,0.08,0.84,2.74,0.03,1.16,1.35,2.07,0.00,0.15,0.00,0.02,0.15,0.05,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
13,0,0.400,0.98,1,0.00,0.00,0.62,0.10,0.83,2.77,0.03,1.11,1.31,2.19,0.07,0.09,0.00,0.01,0.14,0.13,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
14,0,0.433,0.98,1,0.03,0.00,0.54,0.08,0.79,2.84,0.03,1.05,1.27,2.28,0.10,0.08,0.00,0.01,0.20,0.18,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
15,0,0.467,0.98,1,0.06,0.00,0.60,0.04,0.78,2.83,0.00,1.09,1.25,2.39,0.11,0.04,0.00,0.01,0.23,0.24,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
16,0,0.500,0.98,1,0.13,0.00,0.63,0.02,0.75,2.71,0.00,1.12,1.20,2.37,0.04,0.03,0.00,0.02,0.25,0.21,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
