2024-03-22 09:51:17,690 | INFO | Opened serial port /dev/ttyUSB1
2024-03-22 10:05:32,888 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (41, 3, 14), (39, 3, 4), (40, 3, 9), (41, 2, 13), (40, 4, 10), (39, 2, 3), (41, 0, 11), (41, 4, 15), (39, 4, 5), (40, 2, 8), (41, 1, 12), (40, 1, 7), (39, 0, 1), (39, 1, 2), (40, 0, 6)]
2024-03-22 10:05:32,888 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 10:05:35,909 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:05:43,403 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (41, 3, 14), (41, 1, 12), (39, 1, 2), (40, 3, 9), (41, 4, 15), (40, 1, 7), (39, 3, 4), (40, 4, 10), (40, 0, 6), (39, 4, 5), (41, 2, 13), (39, 2, 3), (40, 2, 8), (41, 0, 11), (39, 0, 1)]
2024-03-22 10:05:43,403 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:05:46,423 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:05:54,182 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (41, 2, 13), (39, 4, 5), (40, 2, 8), (41, 3, 14), (40, 3, 9), (39, 1, 2), (40, 1, 7), (41, 1, 12), (39, 2, 3), (40, 4, 10), (39, 3, 4), (40, 0, 6), (41, 0, 11), (39, 0, 1), (41, 4, 15)]
2024-03-22 10:05:54,182 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:05:57,205 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:06:04,960 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (41, 4, 15), (41, 2, 13), (40, 4, 10), (41, 0, 11), (39, 2, 3), (41, 3, 14), (39, 1, 2), (39, 4, 5), (40, 0, 6), (39, 0, 1), (39, 3, 4), (41, 1, 12), (40, 3, 9), (40, 1, 7), (40, 2, 8)]
2024-03-22 10:06:04,960 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 10:06:07,980 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:07:14,045 | INFO | Received the serial number 3, index 15, trial number 2, prototype happiness, duration 1025ms, duration type 41, exp type 4
2024-03-22 10:07:17,117 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:07:24,560 | INFO | Received the serial number 3, index 13, trial number 3, prototype happiness, duration 1025ms, duration type 41, exp type 2
2024-03-22 10:07:27,630 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:07:35,339 | INFO | Received the serial number 1, index 14, trial number 2, prototype anger, duration 1025ms, duration type 41, exp type 3
2024-03-22 10:07:38,414 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:07:46,117 | INFO | Received the serial number 4, index 14, trial number 2, BO happiness, duration 1025ms, duration type 41, exp type 3
2024-03-22 10:07:49,190 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:07:57,896 | INFO | Received the serial number 1, index 12, trial number 3, prototype anger, duration 1025ms, duration type 41, exp type 1
2024-03-22 10:08:00,970 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:08:09,174 | INFO | Received the serial number 1, index 2, trial number 4, prototype anger, duration 975ms, duration type 39, exp type 1
2024-03-22 10:08:12,198 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:08:19,952 | INFO | Received the serial number 4, index 4, trial number 3, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-22 10:08:22,976 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:08:30,980 | INFO | Received the serial number 2, index 13, trial number 2, BO anger, duration 1025ms, duration type 41, exp type 2
2024-03-22 10:08:34,057 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:08:42,509 | INFO | Received the serial number 1, index 9, trial number 5, prototype anger, duration 1000ms, duration type 40, exp type 3
2024-03-22 10:08:45,557 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:08:53,787 | INFO | Received the serial number 3, index 10, trial number 4, prototype happiness, duration 1000ms, duration type 40, exp type 4
2024-03-22 10:08:56,837 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:09:04,565 | INFO | Received the serial number 1, index 15, trial number 6, prototype anger, duration 1025ms, duration type 41, exp type 4
2024-03-22 10:09:07,640 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:09:15,344 | INFO | Received the serial number 2, index 5, trial number 3, BO anger, duration 975ms, duration type 39, exp type 4
2024-03-22 10:09:18,367 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:09:25,872 | INFO | Received the serial number 3, index 11, trial number 5, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-22 10:09:28,948 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:09:36,901 | INFO | Received the serial number 4, index 9, trial number 4, BO happiness, duration 1000ms, duration type 40, exp type 3
2024-03-22 10:09:39,951 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:09:48,429 | INFO | Received the serial number 2, index 8, trial number 4, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-22 10:09:51,479 | INFO | Received the serial number 0, neutral state.
