2024-03-22 10:40:58,381 | INFO | Opened serial port /dev/ttyUSB1
2024-03-22 10:41:35,961 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (41, 0, 11), (39, 1, 2), (40, 0, 6), (39, 2, 3), (41, 2, 13), (39, 0, 1), (41, 1, 12), (41, 4, 15), (40, 1, 7), (41, 3, 14), (40, 2, 8), (39, 3, 4), (39, 4, 5), (40, 4, 10), (40, 3, 9)]
2024-03-22 10:41:35,961 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 10:41:38,984 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:41:46,477 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (40, 0, 6), (41, 3, 14), (39, 4, 5), (40, 2, 8), (39, 0, 1), (41, 1, 12), (41, 4, 15), (40, 4, 10), (39, 1, 2), (40, 3, 9), (39, 3, 4), (41, 2, 13), (40, 1, 7), (41, 0, 11), (39, 2, 3)]
2024-03-22 10:41:46,477 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:41:49,500 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:41:57,255 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (39, 3, 4), (39, 4, 5), (41, 4, 15), (40, 0, 6), (39, 2, 3), (40, 2, 8), (40, 3, 9), (39, 0, 1), (41, 1, 12), (41, 0, 11), (39, 1, 2), (41, 3, 14), (41, 2, 13), (40, 1, 7), (40, 4, 10)]
2024-03-22 10:41:57,255 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-22 10:42:00,277 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:42:08,033 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (40, 0, 6), (39, 3, 4), (40, 4, 10), (39, 0, 1), (41, 1, 12), (40, 2, 8), (41, 0, 11), (39, 4, 5), (40, 1, 7), (41, 4, 15), (40, 3, 9), (41, 3, 14), (39, 2, 3), (41, 2, 13), (39, 1, 2)]
2024-03-22 10:42:08,034 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:42:11,056 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:42:56,978 | INFO | Received the serial number 4, index 4, trial number 2, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-22 10:43:00,002 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:43:07,493 | INFO | Received the serial number 1, index 6, trial number 2, prototype anger, duration 1000ms, duration type 40, exp type 0
2024-03-22 10:43:10,540 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:43:18,272 | INFO | Received the serial number 4, index 5, trial number 3, BO happiness, duration 975ms, duration type 39, exp type 4
2024-03-22 10:43:21,292 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:43:29,050 | INFO | Received the serial number 2, index 6, trial number 2, BO anger, duration 1000ms, duration type 40, exp type 0
2024-03-22 10:43:32,098 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:43:40,828 | INFO | Received the serial number 1, index 4, trial number 3, prototype anger, duration 975ms, duration type 39, exp type 3
2024-03-22 10:43:43,851 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:43:52,106 | INFO | Received the serial number 3, index 11, trial number 2, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-22 10:43:55,181 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:02,885 | INFO | Received the serial number 2, index 14, trial number 3, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-22 10:44:05,959 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:13,913 | INFO | Received the serial number 2, index 5, trial number 4, BO anger, duration 975ms, duration type 39, exp type 4
2024-03-22 10:44:16,939 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:25,441 | INFO | Received the serial number 3, index 2, trial number 3, prototype happiness, duration 975ms, duration type 39, exp type 1
2024-03-22 10:44:28,466 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:36,719 | INFO | Received the serial number 1, index 10, trial number 4, prototype anger, duration 1000ms, duration type 40, exp type 4
2024-03-22 10:44:39,765 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:47,498 | INFO | Received the serial number 3, index 6, trial number 4, prototype happiness, duration 1000ms, duration type 40, exp type 0
2024-03-22 10:44:50,547 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:44:58,276 | INFO | Received the serial number 2, index 8, trial number 5, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-22 10:45:01,327 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:45:08,805 | INFO | Received the serial number 1, index 1, trial number 5, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:45:11,827 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:45:19,833 | INFO | Received the serial number 3, index 3, trial number 5, prototype happiness, duration 975ms, duration type 39, exp type 2
2024-03-22 10:45:22,857 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:45:31,362 | INFO | Received the serial number 2, index 1, trial number 6, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-22 10:45:34,386 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:45:42,390 | INFO | Received the serial number 3, index 13, trial number 6, prototype happiness, duration 1025ms, duration type 41, exp type 2
2024-03-22 10:45:45,465 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:45:52,918 | INFO | Received the serial number 4, index 15, trial number 4, BO happiness, duration 1025ms, duration type 41, exp type 4
2024-03-22 10:45:55,999 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:46:04,947 | INFO | Received the serial number 1, index 12, trial number 6, prototype anger, duration 1025ms, duration type 41, exp type 1
2024-03-22 10:46:08,023 | INFO | Received the serial number 0, neutral state.
2024-03-22 10:46:15,475 | INFO | Received the serial number 2, index 12, trial number 7, BO anger, duration 1025ms, duration type 41, exp type 1
