2024-03-28 13:00:30,472 | INFO | Opened serial port /dev/ttyUSB1
2024-03-28 13:05:07,967 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (40, 4, 10), (41, 3, 14), (41, 1, 12), (41, 2, 13), (39, 2, 3), (39, 1, 2), (39, 3, 4), (39, 4, 5), (39, 0, 1), (40, 1, 7), (41, 4, 15), (41, 0, 11), (40, 0, 6), (40, 2, 8), (40, 3, 9)]
2024-03-28 13:05:07,967 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-28 13:05:10,988 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:05:18,482 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (39, 0, 1), (39, 2, 3), (40, 4, 10), (41, 0, 11), (40, 0, 6), (39, 4, 5), (41, 3, 14), (41, 4, 15), (41, 1, 12), (40, 2, 8), (41, 2, 13), (40, 3, 9), (40, 1, 7), (39, 3, 4), (39, 1, 2)]
2024-03-28 13:05:18,483 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 13:05:21,502 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:05:29,261 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (39, 4, 5), (40, 2, 8), (39, 2, 3), (40, 0, 6), (41, 3, 14), (41, 4, 15), (41, 0, 11), (40, 3, 9), (41, 1, 12), (40, 4, 10), (39, 1, 2), (39, 0, 1), (39, 3, 4), (41, 2, 13), (40, 1, 7)]
2024-03-28 13:05:29,261 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 13:05:32,281 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:05:40,039 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (40, 4, 10), (41, 4, 15), (40, 0, 6), (41, 2, 13), (39, 0, 1), (39, 1, 2), (40, 2, 8), (39, 4, 5), (41, 3, 14), (41, 1, 12), (39, 2, 3), (40, 1, 7), (41, 0, 11), (39, 3, 4), (40, 3, 9)]
2024-03-28 13:05:40,039 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-28 13:05:43,060 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:06:24,884 | INFO | Received the serial number 1, index 10, trial number 2, prototype anger, duration 1000ms, duration type 40, exp type 4
2024-03-28 13:06:27,930 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:06:35,399 | INFO | Received the serial number 4, index 1, trial number 2, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 13:06:38,423 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:06:46,178 | INFO | Received the serial number 2, index 10, trial number 2, BO anger, duration 1000ms, duration type 40, exp type 4
2024-03-28 13:06:49,227 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:06:56,956 | INFO | Received the serial number 3, index 5, trial number 2, prototype happiness, duration 975ms, duration type 39, exp type 4
2024-03-28 13:06:59,978 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:07:08,735 | INFO | Received the serial number 2, index 14, trial number 3, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-28 13:07:11,809 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:07:20,013 | INFO | Received the serial number 4, index 3, trial number 3, BO happiness, duration 975ms, duration type 39, exp type 2
2024-03-28 13:07:23,035 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:07:30,791 | INFO | Received the serial number 2, index 12, trial number 4, BO anger, duration 1025ms, duration type 41, exp type 1
2024-03-28 13:07:33,866 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:07:41,820 | INFO | Received the serial number 4, index 10, trial number 4, BO happiness, duration 1000ms, duration type 40, exp type 4
2024-03-28 13:07:44,867 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:07:53,348 | INFO | Received the serial number 3, index 8, trial number 3, prototype happiness, duration 1000ms, duration type 40, exp type 2
2024-03-28 13:07:56,398 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:04,626 | INFO | Received the serial number 2, index 13, trial number 5, BO anger, duration 1025ms, duration type 41, exp type 2
2024-03-28 13:08:07,699 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:15,404 | INFO | Received the serial number 3, index 3, trial number 4, prototype happiness, duration 975ms, duration type 39, exp type 2
2024-03-28 13:08:18,431 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:26,183 | INFO | Received the serial number 1, index 15, trial number 3, prototype anger, duration 1025ms, duration type 41, exp type 4
2024-03-28 13:08:29,262 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:36,711 | INFO | Received the serial number 2, index 3, trial number 6, BO anger, duration 975ms, duration type 39, exp type 2
2024-03-28 13:08:39,734 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:47,740 | INFO | Received the serial number 4, index 11, trial number 5, BO happiness, duration 1025ms, duration type 41, exp type 0
2024-03-28 13:08:50,817 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:08:59,268 | INFO | Received the serial number 4, index 6, trial number 6, BO happiness, duration 1000ms, duration type 40, exp type 0
2024-03-28 13:09:02,318 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:09:10,297 | INFO | Received the serial number 1, index 6, trial number 4, prototype anger, duration 1000ms, duration type 40, exp type 0
2024-03-28 13:09:13,348 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:09:20,825 | INFO | Received the serial number 2, index 2, trial number 7, BO anger, duration 975ms, duration type 39, exp type 1
2024-03-28 13:09:23,848 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:09:32,853 | INFO | Received the serial number 3, index 6, trial number 5, prototype happiness, duration 1000ms, duration type 40, exp type 0
2024-03-28 13:09:35,902 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:09:43,381 | INFO | Received the serial number 1, index 13, trial number 5, prototype anger, duration 1025ms, duration type 41, exp type 2
2024-03-28 13:09:46,457 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:09:55,410 | INFO | Received the serial number 3, index 14, trial number 6, prototype happiness, duration 1025ms, duration type 41, exp type 3
2024-03-28 13:09:58,486 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:10:06,188 | INFO | Received the serial number 2, index 4, trial number 8, BO anger, duration 975ms, duration type 39, exp type 3
2024-03-28 13:10:09,211 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:10:16,716 | INFO | Received the serial number 4, index 5, trial number 7, BO happiness, duration 975ms, duration type 39, exp type 4
2024-03-28 13:10:19,739 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:10:27,245 | INFO | Received the serial number 1, index 1, trial number 6, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-28 13:10:30,266 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:10:38,273 | INFO | Received the serial number 1, index 2, trial number 7, prototype anger, duration 975ms, duration type 39, exp type 1
2024-03-28 13:10:41,297 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:10:50,302 | INFO | Received the serial number 4, index 14, trial number 8, BO happiness, duration 1025ms, duration type 41, exp type 3
2024-03-28 13:10:53,378 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:01,079 | INFO | Received the serial number 2, index 5, trial number 9, BO anger, duration 975ms, duration type 39, exp type 4
2024-03-28 13:11:04,102 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:12,858 | INFO | Received the serial number 3, index 15, trial number 7, prototype happiness, duration 1025ms, duration type 41, exp type 4
2024-03-28 13:11:15,930 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:23,886 | INFO | Received the serial number 1, index 8, trial number 8, prototype anger, duration 1000ms, duration type 40, exp type 2
2024-03-28 13:11:26,938 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:35,664 | INFO | Received the serial number 4, index 15, trial number 9, BO happiness, duration 1025ms, duration type 41, exp type 4
2024-03-28 13:11:38,745 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:47,942 | INFO | Received the serial number 1, index 5, trial number 9, prototype anger, duration 975ms, duration type 39, exp type 4
2024-03-28 13:11:50,968 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:11:59,220 | INFO | Received the serial number 3, index 11, trial number 8, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-28 13:12:02,290 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:12:11,248 | INFO | Received the serial number 3, index 9, trial number 9, prototype happiness, duration 1000ms, duration type 40, exp type 3
2024-03-28 13:12:14,299 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:13:15,384 | INFO | Received the serial number 4, index 12, trial number 10, BO happiness, duration 1025ms, duration type 41, exp type 1
2024-03-28 13:13:18,462 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:13:26,399 | INFO | Received the serial number 4, index 8, trial number 11, BO happiness, duration 1000ms, duration type 40, exp type 2
2024-03-28 13:13:29,450 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:13:37,178 | INFO | Received the serial number 1, index 14, trial number 10, prototype anger, duration 1025ms, duration type 41, exp type 3
2024-03-28 13:13:40,254 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:13:48,457 | INFO | Received the serial number 4, index 13, trial number 12, BO happiness, duration 1025ms, duration type 41, exp type 2
2024-03-28 13:13:51,535 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:00,735 | INFO | Received the serial number 2, index 1, trial number 10, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-28 13:14:03,759 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:11,512 | INFO | Received the serial number 3, index 12, trial number 10, prototype happiness, duration 1025ms, duration type 41, exp type 1
2024-03-28 13:14:14,589 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:22,791 | INFO | Received the serial number 1, index 12, trial number 11, prototype anger, duration 1025ms, duration type 41, exp type 1
2024-03-28 13:14:25,867 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:33,319 | INFO | Received the serial number 4, index 9, trial number 13, BO happiness, duration 1000ms, duration type 40, exp type 3
2024-03-28 13:14:36,373 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:43,847 | INFO | Received the serial number 1, index 3, trial number 12, prototype anger, duration 975ms, duration type 39, exp type 2
2024-03-28 13:14:46,873 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:14:54,626 | INFO | Received the serial number 2, index 7, trial number 11, BO anger, duration 1000ms, duration type 40, exp type 1
2024-03-28 13:14:57,680 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:05,905 | INFO | Received the serial number 4, index 7, trial number 14, BO happiness, duration 1000ms, duration type 40, exp type 1
2024-03-28 13:15:08,959 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:16,683 | INFO | Received the serial number 1, index 7, trial number 13, prototype anger, duration 1000ms, duration type 40, exp type 1
2024-03-28 13:15:19,736 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:28,212 | INFO | Received the serial number 3, index 10, trial number 11, prototype happiness, duration 1000ms, duration type 40, exp type 4
2024-03-28 13:15:31,261 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:38,739 | INFO | Received the serial number 2, index 15, trial number 12, BO anger, duration 1025ms, duration type 41, exp type 4
2024-03-28 13:15:41,819 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:49,268 | INFO | Received the serial number 2, index 11, trial number 13, BO anger, duration 1025ms, duration type 41, exp type 0
2024-03-28 13:15:52,347 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:15:59,797 | INFO | Received the serial number 3, index 2, trial number 12, prototype happiness, duration 975ms, duration type 39, exp type 1
2024-03-28 13:16:02,826 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:16:10,825 | INFO | Received the serial number 4, index 4, trial number 15, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-28 13:16:13,853 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:16:22,853 | INFO | Received the serial number 1, index 11, trial number 14, prototype anger, duration 1025ms, duration type 41, exp type 0
2024-03-28 13:16:25,932 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:16:33,881 | INFO | Received the serial number 3, index 1, trial number 13, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-28 13:16:36,910 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:16:45,910 | INFO | Received the serial number 2, index 6, trial number 14, BO anger, duration 1000ms, duration type 40, exp type 0
2024-03-28 13:16:48,967 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:16:57,188 | INFO | Received the serial number 3, index 4, trial number 14, prototype happiness, duration 975ms, duration type 39, exp type 3
2024-03-28 13:17:00,211 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:17:08,716 | INFO | Received the serial number 1, index 4, trial number 15, prototype anger, duration 975ms, duration type 39, exp type 3
2024-03-28 13:17:11,743 | INFO | Received the serial number 0, neutral state.
2024-03-28 13:17:19,744 | INFO | Received the serial number 2, index 8, trial number 15, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-28 13:17:22,797 | INFO | Received the serial number 0, neutral state.
