code	time	valence	arousal	humanlike
10	5593	1	1	1
20	23105	1	1	1
30	44778	1	1	1
30	61919	1	1	1
10	80511	1	1	1
20	97119	1	1	1
40	113261	1	1	1
30	129853	1	1	1
10	147012	1	1	1
20	164137	1	1	1
30	182628	1	1	1
10	203201	1	1	1
40	220009	1	1	1
30	237851	1	1	1
20	255626	1	1	1
40	273017	1	1	1
10	290342	1	1	1
40	308801	1	1	1
30	325758	1	1	1
20	345150	1	1	1
40	362307	1	1	1
20	378166	1	1	1
10	395441	1	1	1
40	413250	1	1	1
20	431808	1	1	1
10	449515	1	1	1
30	469023	1	1	1
40	490545	1	1	1
