code	time	valence	arousal	humanlike
10	5597	4	4	7
20	22672	1	9	2
30	40431	6	7	3
20	60538	2	8	2
30	75148	4	4	7
40	93189	5	4	1
20	108464	1	9	3
10	125057	3	3	9
30	141116	6	3	7
40	158257	4	1	8
10	172817	2	8	8
40	185677	5	4	1
20	198387	1	8	3
40	210865	5	5	7
40	233987	5	2	3
10	249796	4	2	9
10	262057	4	1	9
40	274518	7	6	5
30	290826	8	8	6
20	305003	3	7	4
10	319696	3	8	4
30	335338	7	6	8
10	354062	4	1	9
20	366906	1	9	2
30	382333	6	4	4
30	398524	6	6	4
20	417799	2	8	4
40	428826	5	1	3
