code	time	valence	arousal	humanlike
40	5604	-2	-2	-2
40	14850	-2	-2	-2
20	24562	-2	-2	-2
40	33291	-2	-2	-2
10	43654	-2	-2	-2
10	55564	-2	-2	-2
30	65326	-2	-2	-2
20	76537	-2	-2	-2
20	86766	-2	-2	-2
30	98260	-2	-2	-2
20	107455	-2	-2	-2
30	118783	-2	-2	-2
40	130244	-2	-2	-2
10	142089	-2	-2	-2
20	152984	-2	-2	-2
40	162896	-2	-2	-2
10	173856	-2	-2	-2
10	184852	-2	-2	-2
30	194896	-2	-2	-2
10	205941	-2	-2	-2
40	216203	-2	-2	-2
10	229813	-2	-2	-2
30	240907	-2	-2	-2
30	252235	-2	-2	-2
20	264780	-2	-2	-2
40	275507	-2	-2	-2
20	287185	-2	-2	-2
30	299312	-2	-2	-2
