code	time	valence	arousal	humanlike
10	5600	-2	6	3
40	356151	7	6	4
10	382171	2	7	6
40	427916	3	5	6
40	447540	3	5	8
20	463215	1	9	6
10	482256	2	6	8
30	504695	7	6	4
10	526718	4	4	2
40	551939	7	7	5
40	571630	5	7	3
20	590387	3	6	4
30	621722	4	5	2
10	654489	3	8	4
20	675746	1	7	5
30	704399	5	3	7
30	724522	8	4	7
20	743464	5	4	7
30	761771	7	4	8
20	778963	2	7	7
40	794972	7	5	1
20	812863	5	3	7
10	829771	3	5	2
40	846830	7	4	6
10	865139	3	7	4
20	882063	1	7	4
30	901837	7	6	3
40	919911	5	5	5
20	939252	1	7	1
30	955544	1	6	3
30	975868	2	2	6
10	996192	6	6	4
