participant_id,pAn,BOAn,pHa,BOHa
my01,3.8,5.2,1.933333333333333,2.2666666666666666
my02,5.266666666666667,5.2,4.4,3.1333333333333333
my04,5.066666666666666,6.8,4.266666666666667,4.066666666666666
my05,5.333333333333333,8.133333333333333,4.733333333333333,3.0
my06,5.4,7.133333333333334,5.666666666666667,4.333333333333333
my09,6.133333333333334,6.866666666666666,5.4,4.133333333333334
my10,6.733333333333333,7.8,6.333333333333333,5.666666666666667
my11,5.133333333333334,6.933333333333334,5.6,4.0
my12,6.4,7.8,5.933333333333334,5.266666666666667
my13,7.6,7.733333333333333,3.466666666666667,3.0
my14,6.4,7.6,6.533333333333333,5.666666666666667
my15,6.466666666666667,7.066666666666666,6.133333333333334,5.6
my16,5.866666666666666,7.133333333333334,5.0,5.0
my17,7.533333333333333,8.733333333333333,5.533333333333333,3.8
my18,7.266666666666667,7.933333333333334,6.733333333333333,6.2
my19,5.333333333333333,5.133333333333334,6.333333333333333,4.066666666666666
my20,6.2,6.866666666666666,6.0,5.4
my21,6.066666666666666,6.733333333333333,2.8666666666666667,4.0
my22,7.066666666666666,7.333333333333333,5.6,4.866666666666666
my23,4.333333333333333,5.4,6.666666666666667,5.466666666666667
my24,6.266666666666667,7.2,4.733333333333333,3.6
my25,6.333333333333333,6.933333333333334,6.6,6.066666666666666
my26,4.933333333333334,5.466666666666667,4.266666666666667,3.733333333333333
