participant_id,pAn,BOAn,pHa,BOHa
my01,7.2,7.0,4.466666666666667,4.533333333333333
my02,5.666666666666667,5.066666666666666,4.4,3.2666666666666666
my04,5.466666666666667,3.1333333333333333,5.2,4.466666666666667
my05,7.133333333333334,3.6,4.866666666666666,4.533333333333333
my06,4.866666666666666,5.2,5.133333333333334,5.266666666666667
my09,7.0,7.0,3.933333333333333,2.8
my10,7.466666666666667,7.8,5.2,3.6666666666666665
my11,4.733333333333333,4.933333333333334,4.0,3.2
my12,4.6,4.066666666666666,5.666666666666667,5.066666666666666
my13,7.133333333333334,7.066666666666666,7.0,6.333333333333333
my14,7.6,7.066666666666666,8.0,7.4
my15,6.866666666666666,6.8,5.0,4.333333333333333
my16,7.666666666666667,7.333333333333333,4.666666666666667,5.266666666666667
my17,6.0,4.2,4.866666666666666,5.2
my18,4.466666666666667,4.0,4.666666666666667,4.866666666666666
my19,5.6,3.933333333333333,5.133333333333334,3.0
my20,6.866666666666666,6.466666666666667,6.466666666666667,5.333333333333333
my21,3.733333333333333,4.133333333333334,6.133333333333334,4.8
my22,6.466666666666667,5.666666666666667,5.4,5.133333333333334
my23,4.066666666666666,4.0,7.133333333333334,5.866666666666666
my24,6.533333333333333,7.466666666666667,5.066666666666666,3.066666666666667
my25,3.533333333333333,3.2666666666666666,5.8,4.066666666666666
my26,2.1333333333333333,1.933333333333333,3.0,1.933333333333333
