...1,participant_id,code,emotion_category,emotion_type,measure,value
0,my01,10,An,prototype,valence,3.1333333333333333
0,my01,10,An,prototype,arousal,3.8
0,my01,10,An,prototype,humanlike,7.2
1,my01,20,An,BO,valence,2.933333333333333
1,my01,20,An,BO,arousal,5.2
1,my01,20,An,BO,humanlike,7
2,my01,30,Ha,prototype,valence,4.666666666666667
2,my01,30,Ha,prototype,arousal,1.9333333333333331
2,my01,30,Ha,prototype,humanlike,4.466666666666667
3,my01,40,Ha,BO,valence,4.066666666666666
3,my01,40,Ha,BO,arousal,2.2666666666666666
3,my01,40,Ha,BO,humanlike,4.533333333333333
4,my02,10,An,prototype,valence,5.2
4,my02,10,An,prototype,arousal,5.266666666666667
4,my02,10,An,prototype,humanlike,5.666666666666667
5,my02,20,An,BO,valence,3.8
5,my02,20,An,BO,arousal,5.2
5,my02,20,An,BO,humanlike,5.066666666666666
6,my02,30,Ha,prototype,valence,4.466666666666667
6,my02,30,Ha,prototype,arousal,4.4
6,my02,30,Ha,prototype,humanlike,4.4
7,my02,40,Ha,BO,valence,3.466666666666667
7,my02,40,Ha,BO,arousal,3.1333333333333333
7,my02,40,Ha,BO,humanlike,3.2666666666666666
8,my04,10,An,prototype,valence,4.266666666666667
8,my04,10,An,prototype,arousal,5.066666666666666
8,my04,10,An,prototype,humanlike,5.466666666666667
9,my04,20,An,BO,valence,3.8
9,my04,20,An,BO,arousal,6.8
9,my04,20,An,BO,humanlike,3.1333333333333333
10,my04,30,Ha,prototype,valence,6.2
10,my04,30,Ha,prototype,arousal,4.266666666666667
10,my04,30,Ha,prototype,humanlike,5.2
11,my04,40,Ha,BO,valence,5.266666666666667
11,my04,40,Ha,BO,arousal,4.066666666666666
11,my04,40,Ha,BO,humanlike,4.466666666666667
12,my05,10,An,prototype,valence,3.2
12,my05,10,An,prototype,arousal,5.333333333333333
12,my05,10,An,prototype,humanlike,7.133333333333334
13,my05,20,An,BO,valence,1.5333333333333334
13,my05,20,An,BO,arousal,8.133333333333333
13,my05,20,An,BO,humanlike,3.6
14,my05,30,Ha,prototype,valence,5.2
14,my05,30,Ha,prototype,arousal,4.733333333333333
14,my05,30,Ha,prototype,humanlike,4.866666666666666
15,my05,40,Ha,BO,valence,5
15,my05,40,Ha,BO,arousal,3
15,my05,40,Ha,BO,humanlike,4.533333333333333
16,my06,10,An,prototype,valence,3.466666666666667
16,my06,10,An,prototype,arousal,5.4
16,my06,10,An,prototype,humanlike,4.866666666666666
17,my06,20,An,BO,valence,3.933333333333333
17,my06,20,An,BO,arousal,7.133333333333334
17,my06,20,An,BO,humanlike,5.2
18,my06,30,Ha,prototype,valence,6.2
18,my06,30,Ha,prototype,arousal,5.666666666666667
18,my06,30,Ha,prototype,humanlike,5.133333333333334
19,my06,40,Ha,BO,valence,5.333333333333333
19,my06,40,Ha,BO,arousal,4.333333333333333
19,my06,40,Ha,BO,humanlike,5.266666666666667
20,my09,10,An,prototype,valence,6.933333333333334
20,my09,10,An,prototype,arousal,6.133333333333334
20,my09,10,An,prototype,humanlike,7
21,my09,20,An,BO,valence,6.933333333333334
21,my09,20,An,BO,arousal,6.866666666666666
21,my09,20,An,BO,humanlike,7
22,my09,30,Ha,prototype,valence,3.066666666666667
22,my09,30,Ha,prototype,arousal,5.4
22,my09,30,Ha,prototype,humanlike,3.933333333333333
23,my09,40,Ha,BO,valence,2.2
23,my09,40,Ha,BO,arousal,4.133333333333334
23,my09,40,Ha,BO,humanlike,2.8
24,my10,10,An,prototype,valence,5.466666666666667
24,my10,10,An,prototype,arousal,6.733333333333333
24,my10,10,An,prototype,humanlike,7.466666666666667
25,my10,20,An,BO,valence,7.866666666666666
25,my10,20,An,BO,arousal,7.8
25,my10,20,An,BO,humanlike,7.8
26,my10,30,Ha,prototype,valence,6.266666666666667
26,my10,30,Ha,prototype,arousal,6.333333333333333
26,my10,30,Ha,prototype,humanlike,5.2
27,my10,40,Ha,BO,valence,5.2
27,my10,40,Ha,BO,arousal,5.666666666666667
27,my10,40,Ha,BO,humanlike,3.6666666666666665
28,my11,10,An,prototype,valence,4.733333333333333
28,my11,10,An,prototype,arousal,5.133333333333334
28,my11,10,An,prototype,humanlike,4.733333333333333
29,my11,20,An,BO,valence,4.933333333333334
29,my11,20,An,BO,arousal,6.933333333333334
29,my11,20,An,BO,humanlike,4.933333333333334
30,my11,30,Ha,prototype,valence,4.6
30,my11,30,Ha,prototype,arousal,5.6
30,my11,30,Ha,prototype,humanlike,4
31,my11,40,Ha,BO,valence,4
31,my11,40,Ha,BO,arousal,4
31,my11,40,Ha,BO,humanlike,3.2
32,my12,10,An,prototype,valence,3.4
32,my12,10,An,prototype,arousal,6.4
32,my12,10,An,prototype,humanlike,4.6
33,my12,20,An,BO,valence,2.8666666666666667
33,my12,20,An,BO,arousal,7.8
33,my12,20,An,BO,humanlike,4.066666666666666
34,my12,30,Ha,prototype,valence,6.533333333333333
34,my12,30,Ha,prototype,arousal,5.933333333333334
34,my12,30,Ha,prototype,humanlike,5.666666666666667
35,my12,40,Ha,BO,valence,6
35,my12,40,Ha,BO,arousal,5.266666666666667
35,my12,40,Ha,BO,humanlike,5.066666666666666
36,my13,10,An,prototype,valence,4.866666666666666
36,my13,10,An,prototype,arousal,7.6
36,my13,10,An,prototype,humanlike,7.133333333333334
37,my13,20,An,BO,valence,4.8
37,my13,20,An,BO,arousal,7.733333333333333
37,my13,20,An,BO,humanlike,7.066666666666666
38,my13,30,Ha,prototype,valence,6.4
38,my13,30,Ha,prototype,arousal,3.466666666666667
38,my13,30,Ha,prototype,humanlike,7
39,my13,40,Ha,BO,valence,6.733333333333333
39,my13,40,Ha,BO,arousal,3
39,my13,40,Ha,BO,humanlike,6.333333333333333
40,my14,10,An,prototype,valence,1.1333333333333333
40,my14,10,An,prototype,arousal,6.4
40,my14,10,An,prototype,humanlike,7.6
41,my14,20,An,BO,valence,1.3333333333333333
41,my14,20,An,BO,arousal,7.6
41,my14,20,An,BO,humanlike,7.066666666666666
42,my14,30,Ha,prototype,valence,6.6
42,my14,30,Ha,prototype,arousal,6.533333333333333
42,my14,30,Ha,prototype,humanlike,8
43,my14,40,Ha,BO,valence,2.466666666666667
43,my14,40,Ha,BO,arousal,5.666666666666667
43,my14,40,Ha,BO,humanlike,7.4
44,my15,10,An,prototype,valence,3.466666666666667
44,my15,10,An,prototype,arousal,6.466666666666667
44,my15,10,An,prototype,humanlike,6.866666666666666
45,my15,20,An,BO,valence,3.2
45,my15,20,An,BO,arousal,7.066666666666666
45,my15,20,An,BO,humanlike,6.8
46,my15,30,Ha,prototype,valence,6
46,my15,30,Ha,prototype,arousal,6.133333333333334
46,my15,30,Ha,prototype,humanlike,5
47,my15,40,Ha,BO,valence,4.8
47,my15,40,Ha,BO,arousal,5.6
47,my15,40,Ha,BO,humanlike,4.333333333333333
48,my16,10,An,prototype,valence,4.8
48,my16,10,An,prototype,arousal,5.866666666666666
48,my16,10,An,prototype,humanlike,7.666666666666667
49,my16,20,An,BO,valence,6.666666666666667
49,my16,20,An,BO,arousal,7.133333333333334
49,my16,20,An,BO,humanlike,7.333333333333333
50,my16,30,Ha,prototype,valence,5.866666666666666
50,my16,30,Ha,prototype,arousal,5
50,my16,30,Ha,prototype,humanlike,4.666666666666667
51,my16,40,Ha,BO,valence,5.8
51,my16,40,Ha,BO,arousal,5
51,my16,40,Ha,BO,humanlike,5.266666666666667
52,my17,10,An,prototype,valence,2.1333333333333333
52,my17,10,An,prototype,arousal,7.533333333333333
52,my17,10,An,prototype,humanlike,6
53,my17,20,An,BO,valence,1.6666666666666667
53,my17,20,An,BO,arousal,8.733333333333333
53,my17,20,An,BO,humanlike,4.2
54,my17,30,Ha,prototype,valence,7.266666666666667
54,my17,30,Ha,prototype,arousal,5.533333333333333
54,my17,30,Ha,prototype,humanlike,4.866666666666666
55,my17,40,Ha,BO,valence,5.066666666666666
55,my17,40,Ha,BO,arousal,3.8
55,my17,40,Ha,BO,humanlike,5.2
56,my18,10,An,prototype,valence,3.7333333333333334
56,my18,10,An,prototype,arousal,7.266666666666667
56,my18,10,An,prototype,humanlike,4.466666666666667
57,my18,20,An,BO,valence,2.933333333333333
57,my18,20,An,BO,arousal,7.933333333333334
57,my18,20,An,BO,humanlike,4
58,my18,30,Ha,prototype,valence,5.4
58,my18,30,Ha,prototype,arousal,6.733333333333333
58,my18,30,Ha,prototype,humanlike,4.666666666666667
59,my18,40,Ha,BO,valence,5.866666666666666
59,my18,40,Ha,BO,arousal,6.2
59,my18,40,Ha,BO,humanlike,4.866666666666666
60,my19,10,An,prototype,valence,4.533333333333333
60,my19,10,An,prototype,arousal,5.333333333333333
60,my19,10,An,prototype,humanlike,5.6
61,my19,20,An,BO,valence,4
61,my19,20,An,BO,arousal,5.133333333333334
61,my19,20,An,BO,humanlike,3.933333333333333
62,my19,30,Ha,prototype,valence,3.8666666666666663
62,my19,30,Ha,prototype,arousal,6.333333333333333
62,my19,30,Ha,prototype,humanlike,5.133333333333334
63,my19,40,Ha,BO,valence,3.933333333333333
63,my19,40,Ha,BO,arousal,4.066666666666666
63,my19,40,Ha,BO,humanlike,3
64,my20,10,An,prototype,valence,3
64,my20,10,An,prototype,arousal,6.2
64,my20,10,An,prototype,humanlike,6.866666666666666
65,my20,20,An,BO,valence,2.533333333333333
65,my20,20,An,BO,arousal,6.866666666666666
65,my20,20,An,BO,humanlike,6.466666666666667
