,index,participant_id,code,emotion_category,emotion_type,measure,value
2,0,my01,10,An,prototype,humanlike,7.2
5,1,my01,20,An,BO,humanlike,7.0
14,4,my02,10,An,prototype,humanlike,5.666666666666667
17,5,my02,20,An,BO,humanlike,5.066666666666666
26,8,my04,10,An,prototype,humanlike,5.466666666666667
29,9,my04,20,An,BO,humanlike,3.1333333333333333
38,12,my05,10,An,prototype,humanlike,7.133333333333334
41,13,my05,20,An,BO,humanlike,3.6
50,16,my06,10,An,prototype,humanlike,4.866666666666666
53,17,my06,20,An,BO,humanlike,5.2
62,20,my09,10,An,prototype,humanlike,7.0
65,21,my09,20,An,BO,humanlike,7.0
74,24,my10,10,An,prototype,humanlike,7.466666666666667
77,25,my10,20,An,BO,humanlike,7.8
86,28,my11,10,An,prototype,humanlike,4.733333333333333
89,29,my11,20,An,BO,humanlike,4.933333333333334
98,32,my12,10,An,prototype,humanlike,4.6
101,33,my12,20,An,BO,humanlike,4.066666666666666
110,36,my13,10,An,prototype,humanlike,7.133333333333334
113,37,my13,20,An,BO,humanlike,7.066666666666666
122,40,my14,10,An,prototype,humanlike,7.6
125,41,my14,20,An,BO,humanlike,7.066666666666666
134,44,my15,10,An,prototype,humanlike,6.866666666666666
137,45,my15,20,An,BO,humanlike,6.8
146,48,my16,10,An,prototype,humanlike,7.666666666666667
149,49,my16,20,An,BO,humanlike,7.333333333333333
158,52,my17,10,An,prototype,humanlike,6.0
161,53,my17,20,An,BO,humanlike,4.2
170,56,my18,10,An,prototype,humanlike,4.466666666666667
173,57,my18,20,An,BO,humanlike,4.0
182,60,my19,10,An,prototype,humanlike,5.6
185,61,my19,20,An,BO,humanlike,3.933333333333333
194,64,my20,10,An,prototype,humanlike,6.866666666666666
197,65,my20,20,An,BO,humanlike,6.466666666666667
206,68,my21,10,An,prototype,humanlike,3.733333333333333
209,69,my21,20,An,BO,humanlike,4.133333333333334
218,72,my22,10,An,prototype,humanlike,6.466666666666667
221,73,my22,20,An,BO,humanlike,5.666666666666667
230,76,my23,10,An,prototype,humanlike,4.066666666666666
233,77,my23,20,An,BO,humanlike,4.0
242,80,my24,10,An,prototype,humanlike,6.533333333333333
245,81,my24,20,An,BO,humanlike,7.466666666666667
254,84,my25,10,An,prototype,humanlike,3.533333333333333
257,85,my25,20,An,BO,humanlike,3.2666666666666666
266,88,my26,10,An,prototype,humanlike,2.1333333333333333
269,89,my26,20,An,BO,humanlike,1.933333333333333
8,2,my01,30,Ha,prototype,humanlike,4.466666666666667
11,3,my01,40,Ha,BO,humanlike,4.533333333333333
20,6,my02,30,Ha,prototype,humanlike,4.4
23,7,my02,40,Ha,BO,humanlike,3.2666666666666666
32,10,my04,30,Ha,prototype,humanlike,5.2
35,11,my04,40,Ha,BO,humanlike,4.466666666666667
44,14,my05,30,Ha,prototype,humanlike,4.866666666666666
47,15,my05,40,Ha,BO,humanlike,4.533333333333333
56,18,my06,30,Ha,prototype,humanlike,5.133333333333334
59,19,my06,40,Ha,BO,humanlike,5.266666666666667
68,22,my09,30,Ha,prototype,humanlike,3.933333333333333
71,23,my09,40,Ha,BO,humanlike,2.8
80,26,my10,30,Ha,prototype,humanlike,5.2
83,27,my10,40,Ha,BO,humanlike,3.6666666666666665
92,30,my11,30,Ha,prototype,humanlike,4.0
95,31,my11,40,Ha,BO,humanlike,3.2
104,34,my12,30,Ha,prototype,humanlike,5.666666666666667
107,35,my12,40,Ha,BO,humanlike,5.066666666666666
116,38,my13,30,Ha,prototype,humanlike,7.0
119,39,my13,40,Ha,BO,humanlike,6.333333333333333
128,42,my14,30,Ha,prototype,humanlike,8.0
131,43,my14,40,Ha,BO,humanlike,7.4
140,46,my15,30,Ha,prototype,humanlike,5.0
143,47,my15,40,Ha,BO,humanlike,4.333333333333333
152,50,my16,30,Ha,prototype,humanlike,4.666666666666667
155,51,my16,40,Ha,BO,humanlike,5.266666666666667
164,54,my17,30,Ha,prototype,humanlike,4.866666666666666
167,55,my17,40,Ha,BO,humanlike,5.2
176,58,my18,30,Ha,prototype,humanlike,4.666666666666667
179,59,my18,40,Ha,BO,humanlike,4.866666666666666
188,62,my19,30,Ha,prototype,humanlike,5.133333333333334
191,63,my19,40,Ha,BO,humanlike,3.0
200,66,my20,30,Ha,prototype,humanlike,6.466666666666667
203,67,my20,40,Ha,BO,humanlike,5.333333333333333
212,70,my21,30,Ha,prototype,humanlike,6.133333333333334
215,71,my21,40,Ha,BO,humanlike,4.8
224,74,my22,30,Ha,prototype,humanlike,5.4
227,75,my22,40,Ha,BO,humanlike,5.133333333333334
236,78,my23,30,Ha,prototype,humanlike,7.133333333333334
239,79,my23,40,Ha,BO,humanlike,5.866666666666666
248,82,my24,30,Ha,prototype,humanlike,5.066666666666666
251,83,my24,40,Ha,BO,humanlike,3.066666666666667
260,86,my25,30,Ha,prototype,humanlike,5.8
263,87,my25,40,Ha,BO,humanlike,4.066666666666666
272,90,my26,30,Ha,prototype,humanlike,3.0
275,91,my26,40,Ha,BO,humanlike,1.933333333333333
