,index,participant_id,code,emotion_category,emotion_type,measure,value
0,0,my01,10,An,prototype,valence,3.1333333333333333
3,1,my01,20,An,BO,valence,2.933333333333333
12,4,my02,10,An,prototype,valence,5.2
15,5,my02,20,An,BO,valence,3.8
24,8,my04,10,An,prototype,valence,4.266666666666667
27,9,my04,20,An,BO,valence,3.8
36,12,my05,10,An,prototype,valence,3.2
39,13,my05,20,An,BO,valence,1.5333333333333334
48,16,my06,10,An,prototype,valence,3.466666666666667
51,17,my06,20,An,BO,valence,3.933333333333333
60,20,my09,10,An,prototype,valence,6.933333333333334
63,21,my09,20,An,BO,valence,6.933333333333334
72,24,my10,10,An,prototype,valence,5.466666666666667
75,25,my10,20,An,BO,valence,7.866666666666666
84,28,my11,10,An,prototype,valence,4.733333333333333
87,29,my11,20,An,BO,valence,4.933333333333334
96,32,my12,10,An,prototype,valence,3.4
99,33,my12,20,An,BO,valence,2.8666666666666667
108,36,my13,10,An,prototype,valence,4.866666666666666
111,37,my13,20,An,BO,valence,4.8
120,40,my14,10,An,prototype,valence,1.1333333333333333
123,41,my14,20,An,BO,valence,1.3333333333333333
132,44,my15,10,An,prototype,valence,3.466666666666667
135,45,my15,20,An,BO,valence,3.2
144,48,my16,10,An,prototype,valence,4.8
147,49,my16,20,An,BO,valence,6.666666666666667
156,52,my17,10,An,prototype,valence,2.1333333333333333
159,53,my17,20,An,BO,valence,1.6666666666666667
168,56,my18,10,An,prototype,valence,3.733333333333333
171,57,my18,20,An,BO,valence,2.933333333333333
180,60,my19,10,An,prototype,valence,4.533333333333333
183,61,my19,20,An,BO,valence,4.0
192,64,my20,10,An,prototype,valence,3.0
195,65,my20,20,An,BO,valence,2.533333333333333
204,68,my21,10,An,prototype,valence,2.6666666666666665
207,69,my21,20,An,BO,valence,1.7333333333333334
216,72,my22,10,An,prototype,valence,3.1333333333333333
219,73,my22,20,An,BO,valence,3.066666666666667
228,76,my23,10,An,prototype,valence,2.1333333333333333
231,77,my23,20,An,BO,valence,1.933333333333333
240,80,my24,10,An,prototype,valence,3.2
243,81,my24,20,An,BO,valence,2.8
252,84,my25,10,An,prototype,valence,3.733333333333333
255,85,my25,20,An,BO,valence,2.8
264,88,my26,10,An,prototype,valence,2.7333333333333334
267,89,my26,20,An,BO,valence,2.333333333333333
6,2,my01,30,Ha,prototype,valence,4.666666666666667
9,3,my01,40,Ha,BO,valence,4.066666666666666
18,6,my02,30,Ha,prototype,valence,4.466666666666667
21,7,my02,40,Ha,BO,valence,3.466666666666667
30,10,my04,30,Ha,prototype,valence,6.2
33,11,my04,40,Ha,BO,valence,5.266666666666667
42,14,my05,30,Ha,prototype,valence,5.2
45,15,my05,40,Ha,BO,valence,5.0
54,18,my06,30,Ha,prototype,valence,6.2
57,19,my06,40,Ha,BO,valence,5.333333333333333
66,22,my09,30,Ha,prototype,valence,3.066666666666667
69,23,my09,40,Ha,BO,valence,2.2
78,26,my10,30,Ha,prototype,valence,6.266666666666667
81,27,my10,40,Ha,BO,valence,5.2
90,30,my11,30,Ha,prototype,valence,4.6
93,31,my11,40,Ha,BO,valence,4.0
102,34,my12,30,Ha,prototype,valence,6.533333333333333
105,35,my12,40,Ha,BO,valence,6.0
114,38,my13,30,Ha,prototype,valence,6.4
117,39,my13,40,Ha,BO,valence,6.733333333333333
126,42,my14,30,Ha,prototype,valence,6.6
129,43,my14,40,Ha,BO,valence,2.466666666666667
138,46,my15,30,Ha,prototype,valence,6.0
141,47,my15,40,Ha,BO,valence,4.8
150,50,my16,30,Ha,prototype,valence,5.866666666666666
153,51,my16,40,Ha,BO,valence,5.8
162,54,my17,30,Ha,prototype,valence,7.266666666666667
165,55,my17,40,Ha,BO,valence,5.066666666666666
174,58,my18,30,Ha,prototype,valence,5.4
177,59,my18,40,Ha,BO,valence,5.866666666666666
186,62,my19,30,Ha,prototype,valence,3.866666666666666
189,63,my19,40,Ha,BO,valence,3.933333333333333
198,66,my20,30,Ha,prototype,valence,6.933333333333334
201,67,my20,40,Ha,BO,valence,5.866666666666666
210,70,my21,30,Ha,prototype,valence,6.733333333333333
213,71,my21,40,Ha,BO,valence,4.733333333333333
222,74,my22,30,Ha,prototype,valence,7.333333333333333
225,75,my22,40,Ha,BO,valence,6.2
234,78,my23,30,Ha,prototype,valence,6.266666666666667
237,79,my23,40,Ha,BO,valence,5.066666666666666
246,82,my24,30,Ha,prototype,valence,5.133333333333334
249,83,my24,40,Ha,BO,valence,3.533333333333333
258,86,my25,30,Ha,prototype,valence,5.933333333333334
261,87,my25,40,Ha,BO,valence,4.533333333333333
270,90,my26,30,Ha,prototype,valence,4.466666666666667
273,91,my26,40,Ha,BO,valence,3.4
