participant_id,pAn,BOAn,pHa,BOHa
my01,3.1333333333333333,2.933333333333333,4.666666666666667,4.066666666666666
my02,5.2,3.8,4.466666666666667,3.466666666666667
my04,4.266666666666667,3.8,6.2,5.266666666666667
my05,3.2,1.5333333333333334,5.2,5.0
my06,3.466666666666667,3.933333333333333,6.2,5.333333333333333
my09,6.933333333333334,6.933333333333334,3.066666666666667,2.2
my10,5.466666666666667,7.866666666666666,6.266666666666667,5.2
my11,4.733333333333333,4.933333333333334,4.6,4.0
my12,3.4,2.8666666666666667,6.533333333333333,6.0
my13,4.866666666666666,4.8,6.4,6.733333333333333
my14,1.1333333333333333,1.3333333333333333,6.6,2.466666666666667
my15,3.466666666666667,3.2,6.0,4.8
my16,4.8,6.666666666666667,5.866666666666666,5.8
my17,2.1333333333333333,1.6666666666666667,7.266666666666667,5.066666666666666
my18,3.733333333333333,2.933333333333333,5.4,5.866666666666666
my19,4.533333333333333,4.0,3.866666666666666,3.933333333333333
my20,3.0,2.533333333333333,6.933333333333334,5.866666666666666
my21,2.6666666666666665,1.7333333333333334,6.733333333333333,4.733333333333333
my22,3.1333333333333333,3.066666666666667,7.333333333333333,6.2
my23,2.1333333333333333,1.933333333333333,6.266666666666667,5.066666666666666
my24,3.2,2.8,5.133333333333334,3.533333333333333
my25,3.733333333333333,2.8,5.933333333333334,4.533333333333333
my26,2.7333333333333334,2.333333333333333,4.466666666666667,3.4
